player_name,date_of_birth,position,nationality,image_url,age
Mattia De Sciglio,1992-10-20,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/88682-1663577192.jpg?lm=1,23
Nigel de Jong,1984-11-30,Midfielder,Netherlands,https://img.a.transfermarkt.technology/portrait/medium/4672-1448982742.jpg?lm=1,31
Rodrigo Ely,1993-11-03,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/176140-1448982160.jpg?lm=1,22
Diego López Rodríguez,1981-11-03,Goalkeeper,Spain,https://img.a.transfermarkt.technology/portrait/medium/34370-1490690031.jpg?lm=1,34
Luiz Adriano de Souza da Silva,1987-04-12,Attacker,Brazil,https://img.a.transfermarkt.technology/portrait/medium/48974-1665561133.png?lm=1,29
Giacomo Bonaventura,1989-08-22,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/57280-1707150976.jpg?lm=1,26
Alessio Romagnoli,1995-01-12,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/197747-1730125586.jpg?lm=1,21
Keisuke Honda,1986-06-13,Midfielder,Japan,https://img.a.transfermarkt.technology/portrait/medium/66521-1455538386.jpg?lm=1,30
Carlos Arturo Bacca Ahumada,1986-09-08,Attacker,Colombia,https://img.a.transfermarkt.technology/portrait/medium/119235-1702399864.jpg?lm=1,29
Cristian Eduardo Zapata Valencia,1986-09-30,Defender,Colombia,https://img.a.transfermarkt.technology/portrait/medium/34344-1636128495.JPG?lm=1,29
Antonio Nocerino,1985-04-09,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/22203-1489605377.jpg?lm=1,31
Alessio Cerci,1987-07-23,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/21748-1448983122.jpg?lm=1,28
Jesús Joaquín Fernández Sáez de la Torre,1993-11-19,Attacker,Spain,https://img.a.transfermarkt.technology/portrait/medium/111961-1455551677.jpg?lm=1,22
Juraj Kucka,1987-02-26,Midfielder,Slovakia,https://img.a.transfermarkt.technology/portrait/medium/74943-1713529530.png?lm=1,29
Andrea Poli,1989-09-29,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/44834-1665662181.png?lm=1,26
Riccardo Montolivo,1985-01-18,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/19446-1455536395.jpg?lm=1,31
Ignazio Abate,1986-11-12,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/16631-1571989633.jpg?lm=1,29
Mario Barwuah Balotelli,1990-08-12,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/45146-1738057477.jpg?lm=1,25
Davide Calabria,1996-12-06,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/262523-1684856316.jpg?lm=1,19
Alex Rodrigo Dias da Costa,1992-06-17,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/15420-1455536547.jpg?lm=1,24
Gianluigi Donnarumma,1999-02-25,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/medium/315858-1672304477.jpg?lm=1,17
Philippe Mexès,1982-03-30,Defender,France,https://img.a.transfermarkt.technology/portrait/medium/5422-1448982185.jpg?lm=1,34
M''Baye Babacar Niang,1994-12-19,Attacker,Senegal,https://img.a.transfermarkt.technology/portrait/medium/157501-1695124679.png?lm=1,21
Kevin-Prince Boateng,1987-03-06,Midfielder,Ghana,https://img.a.transfermarkt.technology/portrait/medium/16922-1657098909.jpg?lm=1,29
Jérémy Ménez,1987-05-07,Attacker,France,https://img.a.transfermarkt.technology/portrait/medium/16993-1671130470.jpg?lm=1,29
Christian Abbiati,1977-07-08,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/medium/3507-1455536201.jpg?lm=1,38
José Mauri,1996-05-16,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/240958-1647549471.jpg?lm=1,20
Manuel Locatelli,1998-01-08,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/265088-1730125083.jpg?lm=1,18
Roberto Soriano,1991-02-08,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/63186-1596008971.jpg?lm=1,25
Fernando Lucas Martins,1992-03-03,Midfielder,Brazil,https://img.a.transfermarkt.technology/portrait/medium/105456-1665560457.png?lm=1,24
Andrea Coda,1985-04-25,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/28833-1448964983.jpg?lm=1,31
Dávid Ivan,1995-02-26,Midfielder,Slovakia,https://img.a.transfermarkt.technology/portrait/medium/168416-1647699099.png?lm=1,21
